method_id,context_window,aggregation_method,score_field,full_fit_intercept,full_fit_slope
bbox_expand_10x__bbox_mean__object_depth,bbox_expand_10x,bbox_mean,object_depth,90.94387222765035,-6.153475989357144
bbox_expand_10x__bbox_mean__object_depth_percentile_5_95,bbox_expand_10x,bbox_mean,object_depth_percentile_5_95,78.90276319469719,-3.0816163044948146
bbox_expand_10x__bbox_mean__object_minus_ring,bbox_expand_10x,bbox_mean,object_minus_ring,79.59564618722503,-26.202259510133707
bbox_expand_10x__bbox_mean__object_minus_ring_normalized,bbox_expand_10x,bbox_mean,object_minus_ring_normalized,78.2870123123874,-17.93025960939372
bbox_expand_10x__bbox_midpoint__object_depth,bbox_expand_10x,bbox_midpoint,object_depth,101.92145687656101,-10.035557020773677
bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_10x,bbox_midpoint,object_depth_percentile_5_95,86.65340434129787,-17.298130011260543
bbox_expand_10x__bbox_midpoint__object_minus_ring,bbox_expand_10x,bbox_midpoint,object_minus_ring,82.72000488506804,-15.88018439487189
bbox_expand_10x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_10x,bbox_midpoint,object_minus_ring_normalized,78.54407653214236,-5.986059083358654
bbox_expand_10x__inner50_median__object_depth,bbox_expand_10x,inner50_median,object_depth,99.01387764354828,-9.08115368678231
bbox_expand_10x__inner50_median__object_depth_percentile_5_95,bbox_expand_10x,inner50_median,object_depth_percentile_5_95,83.89983060243016,-12.555458359021081
bbox_expand_10x__inner50_median__object_minus_ring,bbox_expand_10x,inner50_median,object_minus_ring,81.06631357680855,-13.494057094266022
bbox_expand_10x__inner50_median__object_minus_ring_normalized,bbox_expand_10x,inner50_median,object_minus_ring_normalized,78.31466454618045,-5.360593473103755
bbox_expand_16x__bbox_mean__object_depth,bbox_expand_16x,bbox_mean,object_depth,89.67144838328981,-5.281725032276013
bbox_expand_16x__bbox_mean__object_depth_percentile_5_95,bbox_expand_16x,bbox_mean,object_depth_percentile_5_95,74.4596281412777,6.616622530153937
bbox_expand_16x__bbox_mean__object_minus_ring,bbox_expand_16x,bbox_mean,object_minus_ring,79.20864520503933,-27.985220810893516
bbox_expand_16x__bbox_mean__object_minus_ring_normalized,bbox_expand_16x,bbox_mean,object_minus_ring_normalized,77.70786803491337,-6.02865184808492
bbox_expand_16x__bbox_midpoint__object_depth,bbox_expand_16x,bbox_midpoint,object_depth,97.9583883135355,-8.206679270605932
bbox_expand_16x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_16x,bbox_midpoint,object_depth_percentile_5_95,81.32116634928114,-7.4546226264816875
bbox_expand_16x__bbox_midpoint__object_minus_ring,bbox_expand_16x,bbox_midpoint,object_minus_ring,81.0528897239988,-14.239786262920262
bbox_expand_16x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_16x,bbox_midpoint,object_minus_ring_normalized,77.74353402375567,-1.79782617966595
bbox_expand_16x__inner50_median__object_depth,bbox_expand_16x,inner50_median,object_depth,96.11430433815767,-7.6133449789872385
bbox_expand_16x__inner50_median__object_depth_percentile_5_95,bbox_expand_16x,inner50_median,object_depth_percentile_5_95,79.5133277685987,-4.017805710084172
bbox_expand_16x__inner50_median__object_minus_ring,bbox_expand_16x,inner50_median,object_minus_ring,80.03333694736811,-12.568211247708009
bbox_expand_16x__inner50_median__object_minus_ring_normalized,bbox_expand_16x,inner50_median,object_minus_ring_normalized,77.67604941761624,-1.4516351751502925
bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x,bbox_mean,object_depth,62.5763806043668,7.409866118287432
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_mean,object_depth_percentile_5_95,119.47758574595603,-103.03425363461287
bbox_expand_1_5x__bbox_mean__object_minus_ring,bbox_expand_1_5x,bbox_mean,object_minus_ring,80.31517814508398,-50.34774444233049
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,bbox_expand_1_5x,bbox_mean,object_minus_ring_normalized,75.54889386504016,-95.32451936687461
bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x,bbox_midpoint,object_depth,140.71016098271335,-23.23619140571419
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_midpoint,object_depth_percentile_5_95,113.35473831754324,-53.06566250603257
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,bbox_expand_1_5x,bbox_midpoint,object_minus_ring,91.52675179891888,-18.40233291763434
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_1_5x,bbox_midpoint,object_minus_ring_normalized,89.10123603742167,-33.495084099502634
bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_1_5x,inner50_median,object_depth,123.09401643770475,-19.70206351655027
bbox_expand_1_5x__inner50_median__object_depth_percentile_5_95,bbox_expand_1_5x,inner50_median,object_depth_percentile_5_95,108.92129483726261,-58.673087775696786
bbox_expand_1_5x__inner50_median__object_minus_ring,bbox_expand_1_5x,inner50_median,object_minus_ring,84.86079241459638,-20.67236224687458
bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,bbox_expand_1_5x,inner50_median,object_minus_ring_normalized,82.61505020719355,-47.40434273842867
bbox_expand_2x__bbox_mean__object_depth,bbox_expand_2x,bbox_mean,object_depth,81.26707335449466,-1.8880633663607855
bbox_expand_2x__bbox_mean__object_depth_percentile_5_95,bbox_expand_2x,bbox_mean,object_depth_percentile_5_95,117.42557625620422,-92.77227967502998
bbox_expand_2x__bbox_mean__object_minus_ring,bbox_expand_2x,bbox_mean,object_minus_ring,81.35984215922772,-44.80287139989886
bbox_expand_2x__bbox_mean__object_minus_ring_normalized,bbox_expand_2x,bbox_mean,object_minus_ring_normalized,78.59990109646587,-87.81332350022373
bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x,bbox_midpoint,object_depth,127.69537312556648,-18.904946423477007
bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_2x,bbox_midpoint,object_depth_percentile_5_95,112.10114340523319,-51.76880936227577
bbox_expand_2x__bbox_midpoint__object_minus_ring,bbox_expand_2x,bbox_midpoint,object_minus_ring,90.5736641458024,-17.522865359083596
bbox_expand_2x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_2x,bbox_midpoint,object_minus_ring_normalized,87.1157714457606,-23.51782407259729
bbox_expand_2x__inner50_median__object_depth,bbox_expand_2x,inner50_median,object_depth,113.23876656268519,-15.462100395507065
bbox_expand_2x__inner50_median__object_depth_percentile_5_95,bbox_expand_2x,inner50_median,object_depth_percentile_5_95,108.55113547352543,-55.826890420425514
bbox_expand_2x__inner50_median__object_minus_ring,bbox_expand_2x,inner50_median,object_minus_ring,84.65264521664918,-17.7782662456303
bbox_expand_2x__inner50_median__object_minus_ring_normalized,bbox_expand_2x,inner50_median,object_minus_ring_normalized,83.46443429529683,-31.983479376116907
bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x,bbox_mean,object_depth,90.86806427564709,-6.594492079240589
bbox_expand_4x__bbox_mean__object_depth_percentile_5_95,bbox_expand_4x,bbox_mean,object_depth_percentile_5_95,96.1795670357257,-40.68729611953479
bbox_expand_4x__bbox_mean__object_minus_ring,bbox_expand_4x,bbox_mean,object_minus_ring,82.06881389853224,-41.619787352045094
bbox_expand_4x__bbox_mean__object_minus_ring_normalized,bbox_expand_4x,bbox_mean,object_minus_ring_normalized,79.66412088621269,-32.15123905558013
bbox_expand_4x__bbox_midpoint__object_depth,bbox_expand_4x,bbox_midpoint,object_depth,114.18114166715814,-14.726114917044686
bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_4x,bbox_midpoint,object_depth_percentile_5_95,101.19709297393267,-38.80283044728145
bbox_expand_4x__bbox_midpoint__object_minus_ring,bbox_expand_4x,bbox_midpoint,object_minus_ring,87.82574977865232,-18.004491496545803
bbox_expand_4x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_4x,bbox_midpoint,object_minus_ring_normalized,80.8799023158857,-9.378213245265874
bbox_expand_4x__inner50_median__object_depth,bbox_expand_4x,inner50_median,object_depth,105.03731036192204,-12.008052996763306
bbox_expand_4x__inner50_median__object_depth_percentile_5_95,bbox_expand_4x,inner50_median,object_depth_percentile_5_95,96.14418652950098,-34.3211457085897
bbox_expand_4x__inner50_median__object_minus_ring,bbox_expand_4x,inner50_median,object_minus_ring,83.44634135377025,-15.82079920672771
bbox_expand_4x__inner50_median__object_minus_ring_normalized,bbox_expand_4x,inner50_median,object_minus_ring_normalized,79.55226271095918,-8.172719085163404
bbox_expand_6x__bbox_mean__object_depth,bbox_expand_6x,bbox_mean,object_depth,88.99459715272704,-5.513845211463544
bbox_expand_6x__bbox_mean__object_depth_percentile_5_95,bbox_expand_6x,bbox_mean,object_depth_percentile_5_95,87.31031967632966,-21.230408677336236
bbox_expand_6x__bbox_mean__object_minus_ring,bbox_expand_6x,bbox_mean,object_minus_ring,80.76828507314393,-34.434620511250195
bbox_expand_6x__bbox_mean__object_minus_ring_normalized,bbox_expand_6x,bbox_mean,object_minus_ring_normalized,78.94728131472549,-25.46843947152356
bbox_expand_6x__bbox_midpoint__object_depth,bbox_expand_6x,bbox_midpoint,object_depth,104.60871224062902,-11.190327407299005
bbox_expand_6x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_6x,bbox_midpoint,object_depth_percentile_5_95,95.05285010435496,-30.58759920139944
bbox_expand_6x__bbox_midpoint__object_minus_ring,bbox_expand_6x,bbox_midpoint,object_minus_ring,85.22175407003957,-17.843589666614903
bbox_expand_6x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_6x,bbox_midpoint,object_minus_ring_normalized,79.54006236903383,-7.910966308109966
bbox_expand_6x__inner50_median__object_depth,bbox_expand_6x,inner50_median,object_depth,99.36382946697394,-9.490739801650301
bbox_expand_6x__inner50_median__object_depth_percentile_5_95,bbox_expand_6x,inner50_median,object_depth_percentile_5_95,90.97237828716646,-25.261032869440406
bbox_expand_6x__inner50_median__object_minus_ring,bbox_expand_6x,inner50_median,object_minus_ring,82.39178214736303,-15.582145636527821
bbox_expand_6x__inner50_median__object_minus_ring_normalized,bbox_expand_6x,inner50_median,object_minus_ring_normalized,78.86627441595004,-6.756837172412365
bbox_expand_8x__bbox_mean__object_depth,bbox_expand_8x,bbox_mean,object_depth,91.2391961770723,-6.440837354792058
bbox_expand_8x__bbox_mean__object_depth_percentile_5_95,bbox_expand_8x,bbox_mean,object_depth_percentile_5_95,83.87632778268139,-13.878064312493702
bbox_expand_8x__bbox_mean__object_minus_ring,bbox_expand_8x,bbox_mean,object_minus_ring,80.17110079581552,-28.575228065606105
bbox_expand_8x__bbox_mean__object_minus_ring_normalized,bbox_expand_8x,bbox_mean,object_minus_ring_normalized,77.97924064756485,-7.535714236835859
bbox_expand_8x__bbox_midpoint__object_depth,bbox_expand_8x,bbox_midpoint,object_depth,103.76321479105583,-10.82890854820364
bbox_expand_8x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_8x,bbox_midpoint,object_depth_percentile_5_95,91.69418831015315,-25.67513093386373
bbox_expand_8x__bbox_midpoint__object_minus_ring,bbox_expand_8x,bbox_midpoint,object_minus_ring,83.97521271816302,-16.791465019141693
bbox_expand_8x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_8x,bbox_midpoint,object_minus_ring_normalized,78.08150615212608,-2.278332697896479
bbox_expand_8x__inner50_median__object_depth,bbox_expand_8x,inner50_median,object_depth,99.76219132976789,-9.515534926244072
bbox_expand_8x__inner50_median__object_depth_percentile_5_95,bbox_expand_8x,inner50_median,object_depth_percentile_5_95,87.60366549121693,-19.300580649920004
bbox_expand_8x__inner50_median__object_minus_ring,bbox_expand_8x,inner50_median,object_minus_ring,81.5582178611417,-13.531872861982558
bbox_expand_8x__inner50_median__object_minus_ring_normalized,bbox_expand_8x,inner50_median,object_minus_ring_normalized,77.95554329789762,-2.0509926372371243
bbox_only__bbox_mean__object_depth,bbox_only,bbox_mean,object_depth,28.43603265566217,23.567804605104858
bbox_only__bbox_mean__object_depth_percentile_5_95,bbox_only,bbox_mean,object_depth_percentile_5_95,42.979684838644154,80.350065325425
bbox_only__bbox_mean__object_minus_ring,bbox_only,bbox_mean,object_minus_ring,77.5,0.0
bbox_only__bbox_mean__object_minus_ring_normalized,bbox_only,bbox_mean,object_minus_ring_normalized,77.5,0.0
bbox_only__bbox_midpoint__object_depth,bbox_only,bbox_midpoint,object_depth,148.60506006649763,-26.007333902645552
bbox_only__bbox_midpoint__object_depth_percentile_5_95,bbox_only,bbox_midpoint,object_depth_percentile_5_95,113.64827657383039,-54.13106191216179
bbox_only__bbox_midpoint__object_minus_ring,bbox_only,bbox_midpoint,object_minus_ring,77.5,0.0
bbox_only__bbox_midpoint__object_minus_ring_normalized,bbox_only,bbox_midpoint,object_minus_ring_normalized,77.5,0.0
bbox_only__inner50_median__object_depth,bbox_only,inner50_median,object_depth,145.7035063157983,-30.05945000366778
bbox_only__inner50_median__object_depth_percentile_5_95,bbox_only,inner50_median,object_depth_percentile_5_95,110.81097217647039,-70.40950199164855
bbox_only__inner50_median__object_minus_ring,bbox_only,inner50_median,object_minus_ring,77.5,0.0
bbox_only__inner50_median__object_minus_ring_normalized,bbox_only,inner50_median,object_minus_ring_normalized,77.5,0.0
full_image__bbox_mean__object_depth,full_image,bbox_mean,object_depth,80.80603036231398,-1.6505330655017054
full_image__bbox_mean__object_depth_percentile_5_95,full_image,bbox_mean,object_depth_percentile_5_95,81.67260856006072,-11.17272617018585
full_image__bbox_mean__object_minus_ring,full_image,bbox_mean,object_minus_ring,78.00745427637713,-77.06272090054327
full_image__bbox_mean__object_minus_ring_normalized,full_image,bbox_mean,object_minus_ring_normalized,77.89695514852338,-164.22329870441644
full_image__bbox_midpoint__object_depth,full_image,bbox_midpoint,object_depth,82.18305390348706,-2.315591325594601
full_image__bbox_midpoint__object_depth_percentile_5_95,full_image,bbox_midpoint,object_depth_percentile_5_95,83.7065771617389,-16.33615702963539
full_image__bbox_midpoint__object_minus_ring,full_image,bbox_midpoint,object_minus_ring,79.31332639338756,-69.80194454270259
full_image__bbox_midpoint__object_minus_ring_normalized,full_image,bbox_midpoint,object_minus_ring_normalized,78.29271488518481,-71.0697658460562
full_image__inner50_median__object_depth,full_image,inner50_median,object_depth,81.79857378635991,-2.1317532007867275
full_image__inner50_median__object_depth_percentile_5_95,full_image,inner50_median,object_depth_percentile_5_95,83.22183761998971,-15.120662097775297
full_image__inner50_median__object_minus_ring,full_image,inner50_median,object_minus_ring,78.82226053625605,-66.02284222373177
full_image__inner50_median__object_minus_ring_normalized,full_image,inner50_median,object_minus_ring_normalized,78.12229951578188,-65.08658512070075
