method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,full_fit_intercept,full_fit_slope,rank,mae_gap_from_winner
bbox_only__bbox_midpoint__object_depth,bbox_only,bbox_midpoint,object_depth,480,-0.5849480862764935,-0.5955341047735992,25.461754676266697,21.449902621148567,0.48075564352438066,0.27371480488781197,31.24388909373432,0.33724654775565244,-0.0012296832989439584,-0.4175299095889571,52.94648418742805,59.80797041325721,87.49184698165959,0.10833333333333334,0.2375,0.46458333333333335,0.4979166666666667,0.5020833333333333,148.60506006649763,-26.007333902645552,1,0.0
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,bbox_expand_1_5x,bbox_midpoint,object_minus_ring,480,-0.5562917087708945,-0.5614070652383246,26.27493863455464,23.306789498978667,0.5001081530449105,0.30756887106025865,32.00601555902845,0.3045193559503674,-0.011887857857163907,0.49636502529671844,53.80623579508691,59.70323075361496,75.87498841455267,0.11458333333333333,0.22708333333333333,0.43333333333333335,0.5104166666666666,0.4895833333333333,91.52675179891888,-18.40233291763434,2,0.8131839582879437
bbox_only__bbox_midpoint__object_depth_percentile_5_95,bbox_only,bbox_midpoint,object_depth_percentile_5_95,480,-0.5208449675897713,-0.5248596473945851,26.82172927624755,23.860548130248,0.5311157508133515,0.2796358882361517,32.89364253051289,0.2654087339687695,0.0028923978070110935,-0.1036148011316449,53.54022653832945,65.73055079592012,93.96323467874952,0.11041666666666666,0.20625,0.4125,0.49583333333333335,0.5041666666666667,113.64827657383039,-54.13106191216179,3,1.359974599980852
bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x,bbox_midpoint,object_depth,480,-0.520669974380283,-0.5027393753197166,26.827802132269838,23.09391300831097,0.5179495881538645,0.29092870758500233,32.87873662710293,0.2660743498538727,-0.0026829024707164233,0.4949421021909117,55.84661709319396,62.777501809688204,79.62331303854984,0.11041666666666666,0.2375,0.43125,0.5125,0.4875,140.71016098271335,-23.23619140571419,4,1.366047456003141
bbox_only__inner50_median__object_depth_percentile_5_95,bbox_only,inner50_median,object_depth_percentile_5_95,480,-0.4757366340149761,-0.47320296686229485,27.33480579123106,23.68205022426288,0.5515041368829633,0.2944167524831775,33.891328068960306,0.22017168773212104,-0.004301229902894951,1.6978200268431394,54.70022115696054,67.19469289270971,100.97363089146334,0.11041666666666666,0.24791666666666667,0.41875,0.5229166666666667,0.47708333333333336,110.81097217647039,-70.40950199164855,5,1.8730511149643618
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_midpoint,object_depth_percentile_5_95,480,-0.49167236074883935,-0.4878516209854236,27.54295795409217,24.012894157779805,0.5505350671000198,0.2881495014703759,33.552626046921915,0.2356806463516269,-0.0013890947223994014,0.29018329263201537,54.92052773628799,63.9716376602421,90.52657647212494,0.11458333333333333,0.2,0.40208333333333335,0.5333333333333333,0.4666666666666667,113.35473831754324,-53.06566250603257,6,2.081203277825473
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_1_5x,bbox_midpoint,object_minus_ring_normalized,480,-0.5021233608502464,-0.49864086857779083,27.763367591232395,25.632683897816662,0.550243128375476,0.2994434484516324,33.31932305067235,0.24627284511112935,-0.0132678228669306,2.8296427360004586,51.91174457175804,60.998344324395255,100.88297122790148,0.09375,0.19791666666666666,0.4,0.5166666666666667,0.48333333333333334,89.10123603742167,-33.495084099502634,7,2.3016129149656983
bbox_expand_2x__bbox_midpoint__object_minus_ring,bbox_expand_2x,bbox_midpoint,object_minus_ring,480,-0.48498689085882973,-0.4877522771093753,27.915766044129597,25.07024997369554,0.5388242816118025,0.3038637453961752,33.68972169234503,0.2294218855732979,-0.012559482944576908,0.48743518328166147,56.40322735002227,63.44436054400696,83.35534930902378,0.09791666666666667,0.20208333333333334,0.38958333333333334,0.5041666666666667,0.49583333333333335,90.5736641458024,-17.522865359083596,8,2.4540113678629005
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,bbox_expand_1_5x,bbox_mean,object_minus_ring_normalized,480,-0.5039679871338394,-0.4918660136516983,27.971097755989504,26.13120296805034,0.5476993115976971,0.31753167783844183,33.2723293909626,0.2483974632413828,-0.0029447428358328883,3.167924123255183,52.11238640871724,59.2966599966174,93.36199044771628,0.07083333333333333,0.20625,0.37916666666666665,0.5229166666666667,0.47708333333333336,75.54889386504016,-95.32451936687461,9,2.5093430797228073
bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,bbox_expand_1_5x,inner50_median,object_minus_ring_normalized,480,-0.4919124963528153,-0.46900212260076396,27.99875898658711,25.915480610541152,0.5564887993593861,0.31445522499309075,33.532369184666,0.2366032589736432,-0.008803648149730255,0.05891791168902216,54.686201309616244,61.15483768112311,88.04506601362544,0.11458333333333333,0.2,0.3854166666666667,0.5,0.5,82.61505020719355,-47.40434273842867,10,2.5370043103204125
